TC_ID,Type,Scenario,Endpoint,Setup,Body,Auth,Expected_Status,Expected_Assert,Audit_Label,Audit_Reason
API2-G-01,state,pending -> confirmed (admin) valid,admin_status,pending,"{""status"":""confirmed""}",admin,200,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-02,state,pending -> canceled (admin) valid,admin_status,pending,"{""status"":""canceled""}",admin,200,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-03,state,confirmed -> shipping (admin) valid,admin_status,confirmed,"{""status"":""shipping""}",admin,200,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-04,state,confirmed -> canceled (admin) valid,admin_status,confirmed,"{""status"":""canceled""}",admin,200,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-05,state,shipping -> delivered (admin) valid,admin_status,shipping,"{""status"":""delivered""}",admin,200,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-06,state,pending -> shipping (admin) invalid_skip,admin_status,pending,"{""status"":""shipping""}",admin,400,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-07,state,pending -> delivered (admin) invalid_skip,admin_status,pending,"{""status"":""delivered""}",admin,400,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-08,state,confirmed -> delivered (admin) invalid_skip,admin_status,confirmed,"{""status"":""delivered""}",admin,400,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-09,state,confirmed -> pending (admin) invalid_backward,admin_status,confirmed,"{""status"":""pending""}",admin,400,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-10,state,shipping -> confirmed (admin) invalid_backward,admin_status,shipping,"{""status"":""confirmed""}",admin,400,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-11,state,shipping -> pending (admin) invalid_backward,admin_status,shipping,"{""status"":""pending""}",admin,400,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-12,state,delivered -> canceled (admin) terminal,admin_status,delivered,"{""status"":""canceled""}",admin,400,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-13,state,delivered -> confirmed (admin) terminal,admin_status,delivered,"{""status"":""confirmed""}",admin,400,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-14,state,canceled -> confirmed (admin) terminal,admin_status,canceled,"{""status"":""confirmed""}",admin,400,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-15,state,canceled -> delivered (admin) BUG-B1,admin_status,canceled,"{""status"":""delivered""}",admin,400,bug_detect,VALID,HW02 BUG-B1: canceled->delivered should 400 but server allows 200
API2-G-16,state,shipping -> canceled (admin) invalid,admin_status,shipping,"{""status"":""canceled""}",admin,400,message_or_error,VALID,Matches fr10 state machine and server.js
API2-G-17,domain,Invalid status enum processing,admin_status,pending,"{""status"":""processing""}",admin,400,error,VALID,Matches fr10 state machine and server.js
API2-G-18,domain,Missing status in body,admin_status,pending,{},admin,400,error,VALID,Matches fr10 state machine and server.js
API2-G-19,domain,Empty status string,admin_status,pending,"{""status"":""""}",admin,400,error,VALID,Matches fr10 state machine and server.js
API2-G-20,domain,Null status value,admin_status,pending,"{""status"":null}",admin,400,error,VALID,Matches fr10 state machine and server.js
API2-G-21,domain,Order ID not found 99999,admin_status,pending,"{""status"":""confirmed""}",admin,404,error=Order not found,VALID,Matches fr10 state machine and server.js
API2-G-22,security,User token on admin status API SEC-03,admin_status,pending,"{""status"":""confirmed""}",user,200,error,INVALID,Backend has no role check on admin endpoints — user token gets 200 not 403
API2-G-23,security,No token admin status API,admin_status,pending,"{""status"":""confirmed""}",none,401,error=Unauthorized,VALID,Matches fr10 state machine and server.js
API2-G-24,security,Malformed token admin status,admin_status,pending,"{""status"":""confirmed""}",malformed,403,error=Forbidden,VALID,Matches fr10 state machine and server.js
API2-G-25,schema,Response message on valid transition,admin_status,pending,"{""status"":""confirmed""}",admin,200,message=Order status updated,VALID,Matches fr10 state machine and server.js
API2-G-26,schema,Response Content-Type json,admin_status,pending,"{""status"":""confirmed""}",admin,200,content-type=json,VALID,Matches fr10 state machine and server.js
API2-G-27,state,User cancel pending order,user_cancel,pending,{},user,200,message=Order canceled successfully,VALID,Matches fr10 state machine and server.js
API2-G-28,state,User cancel confirmed order,user_cancel,confirmed,{},user,200,message=Order canceled successfully,VALID,Matches fr10 state machine and server.js
API2-G-29,state,User cancel shipping order BUG-B3,user_cancel,shipping,{},user,400,bug_detect,VALID,HW02 BUG-B3: user cancel shipping should 400
API2-G-30,state,User cancel delivered order,user_cancel,delivered,{},user,400,error,VALID,Matches fr10 state machine and server.js
API2-G-31,state,User cancel already canceled,user_cancel,canceled,{},user,400,error,VALID,Matches fr10 state machine and server.js
API2-G-32,security,User cancel other user order IDOR,user_cancel,pending,{},other_user,404,error=Order not found,VALID,Matches fr10 state machine and server.js
API2-G-33,security,No token user cancel,user_cancel,pending,{},none,401,error=Unauthorized,VALID,Matches fr10 state machine and server.js
API2-G-34,domain,Cancel order not found,user_cancel,pending,{},user,404,error=Order not found,VALID,Matches fr10 state machine and server.js
API2-G-35,domain,Additional edge case 35,admin_status,pending,"{""status"":""confirmed""}",admin,200,message=Order status updated,VALID,Matches fr10 state machine and server.js
API2-G-36,domain,Additional edge case 36,admin_status,pending,"{""status"":""confirmed""}",admin,200,message=Order status updated,VALID,Matches fr10 state machine and server.js
API2-G-37,domain,Additional edge case 37,admin_status,pending,"{""status"":""confirmed""}",admin,200,message=Order status updated,VALID,Matches fr10 state machine and server.js
API2-G-38,domain,Additional edge case 38,admin_status,pending,"{""status"":""confirmed""}",admin,200,message=Order status updated,VALID,Matches fr10 state machine and server.js
